      A         B         C         D         E         F
0   0.0  1.324770 -1.942702  1.425246 -0.057298  0.450381
1   0.0 -0.798845  2.007620  2.510114 -0.007620 -1.504976
2   0.0  0.306340 -1.116704  0.408715  0.116704 -1.158194
3   0.0 -0.062836 -0.238438  2.360468  0.238438 -1.039792
4   0.0 -1.857979  2.048601  1.659674 -0.048601 -1.333757
5   0.0 -0.547616  0.954204  1.840055  0.045796  0.252731
6   0.0 -4.424179  1.694173  2.227614  0.305827 -0.966708
7   0.0 -0.576654 -1.906143  1.210267 -0.093857 -1.336450
8   0.0  0.026678 -0.895934  0.160518 -0.104066  0.246194
9   0.0  4.786848 -1.985576  0.848384 -0.014424 -1.524773
10  0.0  1.576901  0.817498  1.508957  0.182502 -1.049523
11  0.0 -0.031889 -0.018812  1.337167  0.018812 -1.665473
12  0.0  0.124332 -0.084355  0.915910  0.084355  0.699924
13  0.0  0.168607 -1.154688  2.658212  0.154688 -0.226487
14  0.0  0.217771  0.996262  0.149184  0.003738 -0.430980
15  0.0  0.151250 -1.057302  2.325471  0.057302 -0.249449
16  0.0 -2.816972 -2.040798 -0.457161  0.040798 -1.387667
17  0.0  0.058724  0.396069  0.891610 -0.396069 -0.123141
18  0.0 -0.429771 -2.150264  1.101234  0.150264 -1.293451
19  0.0  1.113435  0.832961 -0.514280  0.167039 -2.517418
20  0.0 -5.112076 -1.947261  0.682101 -0.052739 -1.058179
21  0.0  0.007914 -1.363197  1.344249  0.363197 -0.040421
22  0.0  4.318620 -2.037291  1.308964  0.037291 -1.149061
23  0.0  0.551660 -2.224944  2.079832  0.224944 -0.918152
24  0.0 -0.429059  2.358273  2.309220 -0.358273  2.122748
25  0.0 -0.063087  0.724127 -0.582535  0.275873 -0.106549
26  0.0 -0.001335 -1.223062  1.822834  0.223062 -0.482030
27  0.0  2.715604 -1.071452  2.521178  0.071452  1.272936
28  0.0  0.561657 -2.042254  1.805641  0.042254 -0.230666
29  0.0  0.314594  1.992512  1.519805  0.007488 -1.744684
