           A     B         C         D         E         F
0   1.806859  0.16 -2.092691  1.884370  0.092691 -1.765158
1   2.664664  0.16  0.846740  1.020045  0.153260 -0.843753
2   0.077930  0.16 -0.981189  0.690161 -0.018811 -1.492788
3  -0.349442  0.16  1.853473  1.791812  0.146527 -1.927772
4   2.191331  0.16  2.039950  2.138459 -0.039950 -1.378278
5   0.699568  0.16 -0.951045  1.636640 -0.048955 -0.796004
6   2.999967  0.16 -2.231479  2.122897  0.231479 -0.008106
7   2.327172  0.16 -1.090829  2.339104  0.090829  1.237487
8   0.897802  0.16 -0.014736 -0.593116  0.014736 -0.456043
9   1.939935  0.16  2.029070  1.311772 -0.029070 -1.630897
10  1.849381  0.16 -0.988922  1.138509 -0.011078 -1.721991
11  1.004161  0.16  1.325266  2.351593  0.674734 -3.050336
12  2.864588  0.16 -1.922438 -0.564049 -0.077562 -0.526466
13  0.769817  0.16 -1.993276  2.732401 -0.006724 -0.692242
14  2.608791  0.16 -1.981625  2.369841 -0.018375 -0.916260
15  0.999270  0.16 -0.751024  2.346506 -0.248976 -0.038213
16  2.683794  0.16 -0.859032  2.513800 -0.140968  0.817846
17 -0.064219  0.16  1.000070  2.611560 -0.000070 -1.635059
18  0.998798  0.16 -1.924895  2.773937 -0.075105  0.049027
19  0.976098  0.16  0.980462  1.907604  0.019538 -0.219078
20  2.834062  0.16 -1.823059  2.472533 -0.176941 -0.584366
21  0.181640  0.16 -1.970086  2.206379 -0.029914 -1.388143
22 -0.170754  0.16  0.017228  1.365112 -0.017228 -1.742391
23  2.999515  0.16  1.025696  1.735509 -0.025696  0.031154
24  2.105035  0.16 -1.986626  0.198570 -0.013374 -1.465567
25  0.884991  0.16 -1.078092  2.064023  0.078092  0.484321
26  2.663952  0.16  2.323236  2.264494 -0.323236 -0.844705
27  0.569650  0.16  2.242511  2.049547 -0.242511  0.964716
28  0.931275  0.16  1.073527  2.607668 -0.073527 -0.372900
29  2.883505  0.16 -1.707992  1.870004 -0.292008 -0.487503
