           A    B         C         D         E         F
0   1.989732  0.0  1.001002 -0.904796 -0.001002 -1.581065
1   2.053071  0.0  0.008993  2.142522 -0.008993  1.517700
2   0.998280  0.0  2.059107  2.236376 -0.059107 -0.058665
3   1.052394  0.0 -2.328707  0.386208  0.328707 -2.816452
4  -0.990445  0.0  0.409101 -0.789490  0.590899 -3.003242
5   2.118342  0.0  0.005062  0.167367 -0.005062 -1.452177
6   2.858240  0.0  0.700789  2.082953  0.299211 -0.538967
7   0.822122  0.0 -2.251975  1.058103  0.251975 -0.605668
8   2.057216  0.0 -0.044170  1.309755  0.044170 -1.513549
9   2.944003  0.0 -1.922643  2.669320 -0.077357 -0.336238
10  0.767148  0.0  1.583821  1.974534  0.416179 -0.696413
11  0.580987  0.0 -1.075135  0.398770  0.075135 -0.950855
12  0.548679  0.0  0.256737  0.569438 -0.256737 -0.990012
13  2.954343  0.0  1.845023  0.231652  0.154977  0.303344
14  0.600627  0.0 -1.994022 -0.021915 -0.005978 -0.926512
15  2.539111  0.0  1.996527 -0.855509  0.003473 -1.001415
16  1.572180  0.0 -0.912448  1.359624 -0.087552 -2.012875
17  2.963721  0.0 -2.022680  2.849046  0.022680  0.270188
18  0.159060  0.0  1.925074 -0.620676  0.074926 -1.411058
19  2.921019  0.0  2.009127  0.221939 -0.009127  0.400108
20  0.562886  0.0 -1.928990 -1.056588 -0.071010 -0.972923
21  0.827548  0.0  1.105157  2.669977 -0.105157 -0.596070
22  2.753054  0.0 -2.111586  2.486928  0.111586  0.718104
23  0.916144  0.0 -2.279466  2.508235  0.279466  0.412442
24  0.982499  0.0 -1.286036 -0.443552  0.286036 -0.187361
25  2.994137  0.0  1.982197  2.475503  0.017803 -0.108339
26  2.547476  0.0  2.090221  1.258798 -0.090221 -0.991451
27  2.628089  0.0  0.563660  1.964604  0.436340 -0.891701
28  1.176992  0.0  1.919296  0.929557  0.080704 -2.537482
29  2.980252  0.0  1.501798  1.011431 -0.501798  0.199063
