           A    B    C         D         E         F
0   2.992096  0.0  0.0  2.495901  0.480235 -0.125815
1   0.999515  0.0  0.0 -1.062950 -0.281007 -0.031141
2   0.425692 -0.0  0.0 -0.486667  0.000654 -1.131070
3   2.113191  0.0  0.0 -0.628018  0.028807 -1.457362
4   2.541838  0.0  0.0  2.916580 -0.001172  0.998174
5   2.337312  0.0  0.0 -0.539526 -0.093225 -1.226736
6   2.871379 -0.0  0.0 -0.281966 -0.006153 -0.512791
7   0.667490  0.0  0.0 -0.608813  0.197329 -0.839963
8   0.935754  0.0  0.0 -0.889097 -0.125956 -0.360406
9   2.628767  0.0  0.0 -0.857365  0.023012 -0.890829
10  0.434778  0.0  0.0 -1.013966  0.030597 -1.121005
11  2.840555  0.0  0.0  2.285460  0.010272 -0.572490
12  0.889510 -0.0  0.0  2.734933  0.055456  0.474524
13  2.768654  0.0  0.0  2.362278  0.174460 -0.694063
14  2.813519 -0.0  0.0 -1.215383 -0.104013 -0.620618
15  0.508003  0.0  0.0  2.015749  0.036201 -1.037932
16  0.723340 -0.0  0.0  1.990815 -0.344923  0.762168
17  0.963696 -0.0  0.0  2.503530  0.037385 -0.270280
18  0.582946  0.0  0.0  1.954528 -0.352453 -0.948447
19  0.978179  0.0  0.0  1.271586 -0.266612 -0.209287
20  0.980237  0.0  0.0  1.693789 -0.534810 -0.199142
21  2.168193 -0.0  0.0  1.895982  0.027976 -1.401800
22  0.604561  0.0  0.0 -0.047603  0.001015 -0.921582
23  0.461989  0.0  0.0  0.332118  0.058743 -1.090560
24  2.997766 -0.0  0.0  2.696010 -0.084498  0.066848
25  0.751800  0.0  0.0 -0.850721 -0.040031  0.720008
26  0.608770  0.0  0.0  2.048247 -0.258378 -0.916287
27 -0.199657  0.0  0.0 -0.504730  0.008262 -1.771804
28  2.618351  0.0  0.0 -0.790536 -0.134924 -0.904154
29  0.929850  0.0  0.0  1.277474 -0.651738 -0.376792
