           A         B    C    D    E         F
0   0.595925 -1.476880 -2.0  0.0  0.0 -0.932379
1   0.772058 -0.149918 -1.0  0.0  0.0 -0.688723
2   0.458254  0.164022  1.0  0.0  0.0  1.094767
3   0.990553 -0.118137 -2.0  0.0  0.0  0.137564
4  -0.191937 -7.123121 -2.0  0.0 -0.0 -1.763932
5   1.887279 -2.422306  2.0  0.0  0.0 -1.683757
6   1.240829 -3.112949 -1.0  0.0  0.0 -2.432835
7   0.999236 -0.072165  2.0  0.0  0.0  0.039102
8   2.538361  1.797492 -2.0  0.0  0.0 -1.002305
9   2.924220 -0.738453 -2.0  0.0  0.0 -0.391807
10  0.993339 -0.477141 -2.0  0.0 -0.0  0.115482
11  2.669261 -0.551114 -1.0  0.0 -0.0  0.837582
12  1.705580  0.000000  0.0  0.0 -0.0 -1.869645
13  0.906825 -0.157434 -1.0  0.0 -0.0 -0.435107
14  2.925504 -1.373914 -2.0  0.0 -0.0 -0.388431
15  1.841113  1.744827 -2.0  0.0 -0.0  1.730360
16  2.928537 -0.465930 -2.0  0.0  0.0  0.380344
17  0.000114 -5.352597  2.0  0.0  0.0 -1.570683
18  0.227848 -5.513033  2.0  0.0  0.0 -1.340930
19  2.494327 -3.520143  2.0  0.0 -0.0 -1.053736
20  0.510172  0.299710 -1.0  0.0  0.0 -1.035412
21  2.492171  0.000000  0.0  0.0 -0.0 -1.056215
22  0.623254 -2.287825 -2.0  0.0 -0.0 -0.897900
23 -0.481211  0.000000  0.0  0.0  0.0 -2.072832
24  2.951599  0.386313 -2.0  0.0  0.0 -0.312398
25 -0.373217 -0.557871  2.0  0.0  0.0 -1.953270
26  2.807204  0.824096 -1.0  0.0  0.0  0.631396
27  2.983652 -0.160721  2.0  0.0  0.0 -0.181070
28  0.348047 -0.687660  2.0  0.0  0.0 -1.215309
29  2.403114 -0.977812  2.0  0.0 -0.0 -1.155880
