           A         B         C    D         E         F
0   0.984051 -0.179073 -2.248107  1.0  0.248107  0.178841
1   0.978360 -0.007293 -1.156946  1.0  0.156946 -0.208417
2   0.916153 -0.003223  0.153071  1.0 -0.153071  0.412422
3   2.989056 -0.322645 -0.950454  1.0 -0.049546 -0.148084
4  -0.367900  3.441436  1.943766  1.0  0.056234 -1.947546
5   2.807963  0.172084  0.281244  1.0 -0.281244 -0.630110
6   2.880533 -0.818004 -2.034259  1.0  0.034259 -0.493811
7   2.343484  0.708946  1.969672  1.0  0.030328 -1.220173
8   0.111354 -2.004335  1.047145  1.0 -0.047145 -1.459210
9   2.920420  0.202616  0.508635  1.0 -0.508635 -0.401642
10  0.377347  1.415214 -0.944090  1.0 -0.055910  1.183866
11  2.995531 -0.107159  1.159058  1.0 -0.159058  0.094576
12  1.982775  2.411585 -1.011103  1.0  0.011103 -1.588022
13  2.495524 -0.174244 -1.007133  1.0  0.007133 -1.052358
14  0.429581  0.046615 -0.053291  1.0  0.053291 -1.126768
15  0.981459 -0.217464 -2.162857  1.0  0.162857  0.192863
16  2.992319 -0.219995  2.138290  1.0 -0.138290  0.124027
17  2.261673 -0.042750 -2.165323  1.0  0.165323  1.306041
18  2.947660 -0.057959 -0.663026  1.0 -0.336974 -0.324971
19  1.401428 -1.017418  1.839871  1.0  0.160129 -2.212513
20  0.884590 -0.481087 -1.115831  1.0  0.115831 -0.485181
21  0.331139  0.725222  2.025769  1.0 -0.025769  1.233285
22 -0.179817 -2.596404 -1.935305  1.0 -0.064695 -1.751597
23  0.920775  0.244449  1.931051  1.0  0.068949 -0.400735
24  0.567660 -1.021764 -1.076758  1.0  0.076758 -0.967136
25  2.224649 -0.576186 -1.053547  1.0  0.053547 -1.344214
26 -0.666660  2.265768 -2.140946  1.0  0.140946 -2.300516
27  2.964572 -0.006193 -0.024956  1.0  0.024956 -0.266979
28  2.861486  0.937552 -1.182981  1.0  0.182981  0.532607
29  0.963094 -0.370013 -0.790921  1.0 -0.209079 -0.272526
