           A         B    C         D    E         F
0   2.646735 -1.442187  2.0  1.082570  0.0 -0.867501
1   2.825770  0.971888  2.0 -0.947238  0.0 -0.599230
2   1.074725  3.096635 -2.0  2.063774  0.0 -2.752555
3   0.111394 -3.249177  2.0  1.305459  0.0 -1.459170
4   0.930421 -0.160210 -2.0 -0.256797  0.0  0.375236
5   2.762925  0.000000  0.0  2.327359  0.0 -0.702970
6   0.793550  0.816398 -2.0  0.824436  0.0 -0.654175
7   2.506755  0.092521  2.0  1.880354  0.0 -1.039380
8   2.142201 -1.953033  2.0  0.691997  0.0 -1.428112
9   2.973723 -0.264174  1.0  1.120800  0.0 -0.229752
10  0.931714 -0.143064 -2.0  1.937893  0.0 -0.371692
11  1.650582 -0.000000  0.0  0.856088  0.0 -1.927746
12  2.939245 -1.965401 -2.0  2.575941  0.0  0.350373
13  2.851718 -0.311440  1.0 -0.613943  0.0 -0.551541
14  2.990967  0.004359 -2.0  1.885105  0.0 -0.134512
15  2.993366  0.311428  1.0  2.144096  0.0 -0.115251
16 -0.271907 -5.445994  2.0 -0.057685  0.0 -1.846171
17 -0.262578  6.415953 -2.0  2.436847  0.0  1.836489
18  2.161231  1.610993  2.0  2.039159  0.0 -1.408858
19  2.005163  1.289769 -1.0  1.006464  0.0 -1.565633
20  2.665136 -1.279454 -2.0  2.041382  0.0 -0.843120
21 -0.339502 -0.891728 -2.0  0.077529  0.0 -1.917183
22  2.060187 -4.921671  2.0  0.755954  0.0 -1.510573
23  2.901328 -0.163559  1.0  0.773686  0.0 -0.447971
24  0.998208 -0.100075 -2.0  0.598623  0.0  0.059878
25  2.833016 -1.590201  2.0  2.586225  0.0 -0.586259
26  0.643347 -0.000000  0.0  2.364202  0.0  0.871935
27  2.509497 -1.637535 -2.0 -0.756542  0.0 -1.036196
28  1.721605  3.792480 -2.0  1.510609  0.0 -1.852919
29  0.993177  0.121501 -1.0 -1.346510  0.0  0.116881
