      A    B         C         D         E    F
0   3.0 -0.0 -1.042098  2.282392  0.042098  0.0
1   3.0  0.0  2.012896  1.745614 -0.012896  0.0
2   1.0 -0.0 -1.043943 -0.397944  0.043943  0.0
3   3.0 -0.0 -1.434545  1.094966 -0.565455  0.0
4   1.0  0.0  1.616290  1.134490 -0.616290  0.0
5   3.0  0.0  2.655117  1.722142 -0.655117  0.0
6   1.0 -0.0 -2.263244  1.510463  0.263244  0.0
7   1.0 -0.0 -1.905499  2.520473 -0.094501  0.0
8   3.0 -0.0 -0.013190  1.405129  0.013190  0.0
9   1.0  0.0  1.888649  1.624745  0.111351  0.0
10  1.0  0.0  1.916479  2.239424  0.083521  0.0
11  3.0 -0.0 -0.665673  2.539550 -0.334327  0.0
12  3.0 -0.0 -2.457458  2.513441  0.457458  0.0
13  1.0 -0.0 -0.337474  1.422762  0.337474  0.0
14  1.0  0.0  1.968359  2.622447  0.031641  0.0
15  3.0 -0.0 -1.965974 -0.533331 -0.034026  0.0
16  1.0 -0.0 -2.187214  2.795333  0.187214  0.0
17  1.0 -0.0 -2.149518 -0.855318  0.149518  0.0
18  1.0 -0.0 -1.184342  1.807703  0.184342  0.0
19  3.0 -0.0 -2.805506  1.262501  0.805506  0.0
20  3.0 -0.0 -1.710271 -0.855877 -0.289729  0.0
21  1.0  0.0  2.001437 -0.010543 -0.001437  0.0
22  3.0 -0.0 -1.148991  0.307430  0.148991  0.0
23  1.0 -0.0 -0.322990  2.497869  0.322990  0.0
24  3.0  0.0  1.102921  1.163980 -0.102921  0.0
25  1.0 -0.0 -1.117712  2.385011  0.117712  0.0
26  1.0 -0.0 -1.017226  0.579672  0.017226  0.0
27  1.0 -0.0 -2.135888  0.867820  0.135888  0.0
28  1.0 -0.0 -1.461188  1.872021  0.461188  0.0
29  3.0  0.0  1.787934  1.026947  0.212066  0.0
