           A         B    C         D    E    F
0   2.540302  0.541472  1.0  1.173782  1.0  1.0
1   2.540302  0.045255  1.0  2.297079  1.0  1.0
2   0.540302  1.916614  1.0  2.144884  1.0  1.0
3   2.540302 -0.452583  1.0  0.405882  1.0  1.0
4   0.540302  0.012076  1.0  2.259779  1.0  1.0
5   2.540302  1.945082  1.0  2.194115  1.0  1.0
6   2.540302  0.406416  1.0  2.792996  1.0  1.0
7   0.540302 -1.893998  1.0  0.748636  1.0  1.0
8   2.540302 -1.443093  1.0 -0.079497  1.0  1.0
9   0.540302 -1.777540  1.0  1.525758  1.0  1.0
10  0.540302 -1.682900  1.0  1.898508  1.0  1.0
11  0.540302 -1.636601  1.0 -1.334999  1.0  1.0
12  2.540302 -0.357917  1.0  2.730739  1.0  1.0
13  2.540302 -0.000372  1.0 -0.246676  1.0  1.0
14  0.540302  0.410450  1.0  2.655791  1.0  1.0
15  2.540302 -0.406796  1.0  0.954687  1.0  1.0
16  2.540302  0.182747  1.0  0.999433  1.0  1.0
17  0.540302  1.658002  1.0  1.602250  1.0  1.0
18  2.540302 -0.586534  1.0  0.730575  1.0  1.0
19  0.540302  0.085057  1.0  1.125434  1.0  1.0
20  0.540302 -0.082611  1.0  2.260596  1.0  1.0
21  0.540302 -0.173756  1.0  0.640792  1.0  1.0
22  0.540302 -1.260840  1.0  2.291322  1.0  1.0
23  0.540302 -0.466250  1.0  2.053683  1.0  1.0
24  2.540302  0.382029  1.0 -0.039175  1.0  1.0
25  0.540302  1.273702  1.0  1.547558  1.0  1.0
26  0.540302  0.538912  1.0  2.041098  1.0  1.0
27  2.540302  0.084709  1.0  0.087370  1.0  1.0
28  0.540302  0.967447  1.0  0.834221  1.0  1.0
29  0.540302  1.013099  1.0  2.051147  1.0  1.0
30  2.540302  0.894445  1.0  2.557541  1.0  1.0
31  0.540302 -0.451564  1.0 -1.224343  1.0  1.0
32  0.540302  1.501369  1.0  2.217372  1.0  1.0
33  2.540302 -1.315760  1.0  2.204055  1.0  1.0
34  2.540302  0.621999  1.0  2.443989  1.0  1.0
35  2.540302 -1.415832  1.0 -1.426870  1.0  1.0
36  0.540302 -0.895558  1.0 -0.984328  1.0  1.0
37  2.540302 -2.208729  1.0  2.260762  1.0  1.0
38  2.540302 -0.412488  1.0  1.261045  1.0  1.0
39  2.540302 -0.162048  1.0  2.322576  1.0  1.0
40  0.540302 -0.475285  1.0 -1.360472  1.0  1.0
41  0.540302  0.327861  1.0 -0.419775  1.0  1.0
42  0.540302 -0.239304  1.0  1.810030  1.0  1.0
43  2.540302  1.419002  1.0  1.780827  1.0  1.0
44  0.540302 -0.540225  1.0  0.033387  1.0  1.0
45  0.540302  0.740503  1.0 -0.825015  1.0  1.0
46  0.540302 -1.983403  1.0  2.528238  1.0  1.0
47  0.540302  0.616414  1.0  0.039245  1.0  1.0
48  0.540302 -0.675573  1.0  2.199094  1.0  1.0
49  0.540302 -0.156130  1.0  1.963076  1.0  1.0
