           A         B    C    D    E    F
0   2.540302 -0.731801  1.0 -2.0  1.0  1.0
1   2.540302 -0.927633  1.0 -2.0  1.0  1.0
2   0.540302 -0.636082  1.0 -2.0  1.0  1.0
3   2.540302  1.288247  1.0 -2.0  1.0  1.0
4   0.540302 -0.976264  1.0 -2.0  1.0  1.0
5   0.540302  0.768009  1.0 -2.0  1.0  1.0
6   0.540302 -0.673466  1.0 -2.0  1.0  1.0
7   0.540302  2.907437  1.0 -2.0  1.0  1.0
8   2.540302 -0.981870  1.0 -2.0  1.0  1.0
9   2.540302 -0.455037  1.0 -2.0  1.0  1.0
10  0.540302 -0.159455  1.0 -2.0  1.0  1.0
11  0.540302 -0.428957  1.0 -2.0  1.0  1.0
12  2.540302 -1.522600  1.0 -2.0  1.0  1.0
13  0.540302  0.047784  1.0 -2.0  1.0  1.0
14  0.540302 -1.864495  1.0 -2.0  1.0  1.0
15  2.540302  1.160638  1.0 -2.0  1.0  1.0
16  2.540302  0.213024  1.0 -2.0  1.0  1.0
17  2.540302 -0.758463  1.0 -2.0  1.0  1.0
18  0.540302 -1.539786  1.0 -2.0  1.0  1.0
19  0.540302 -0.870243  1.0 -2.0  1.0  1.0
20  0.540302  0.158648  1.0 -2.0  1.0  1.0
21  0.540302  0.285636  1.0 -2.0  1.0  1.0
22  2.540302  1.519540  1.0 -2.0  1.0  1.0
23  2.540302  0.050834  1.0 -2.0  1.0  1.0
24  0.540302  0.463286  1.0 -2.0  1.0  1.0
25  0.540302 -0.657581  1.0 -2.0  1.0  1.0
26  0.540302  1.182255  1.0 -2.0  1.0  1.0
27  2.540302 -0.141901  1.0 -2.0  1.0  1.0
28  2.540302 -1.898841  1.0 -2.0  1.0  1.0
29  2.540302  0.325000  1.0 -2.0  1.0  1.0
30  2.540302  0.101779  1.0 -2.0  1.0  1.0
31  0.540302 -0.495049  1.0 -2.0  1.0  1.0
32  2.540302  0.162640  1.0 -2.0  1.0  1.0
33  0.540302  0.211028  1.0 -2.0  1.0  1.0
34  0.540302 -0.953279  1.0 -2.0  1.0  1.0
35  0.540302 -1.441679  1.0 -2.0  1.0  1.0
36  0.540302  0.913307  1.0 -2.0  1.0  1.0
37  2.540302 -0.097647  1.0 -2.0  1.0  1.0
38  2.540302 -0.572585  1.0 -2.0  1.0  1.0
39  2.540302  0.318598  1.0 -2.0  1.0  1.0
40  0.540302 -0.896712  1.0 -2.0  1.0  1.0
41  0.540302 -1.525664  1.0 -2.0  1.0  1.0
42  2.540302  1.299753  1.0 -2.0  1.0  1.0
43  2.540302 -2.368410  1.0 -2.0  1.0  1.0
44  2.540302  0.442860  1.0 -2.0  1.0  1.0
45  2.540302 -0.427835  1.0 -2.0  1.0  1.0
46  2.540302 -0.509723  1.0 -2.0  1.0  1.0
47  0.540302 -2.704114  1.0 -2.0  1.0  1.0
48  2.540302  0.788199  1.0 -2.0  1.0  1.0
49  0.540302 -2.463968  1.0 -2.0  1.0  1.0
