           A         B    C         D    E    F
0   0.540302  0.520081  1.0  1.754658 -2.0  1.0
1   2.540302 -0.108137  1.0 -0.003794 -2.0  1.0
2   2.540302 -0.790224  1.0  0.508731 -2.0  1.0
3   2.540302 -0.685860  1.0  0.979442 -2.0  1.0
4   2.540302  1.646620  1.0  1.018091 -2.0  1.0
5   2.540302  0.106193  1.0  2.668824 -2.0  1.0
6   0.540302 -0.472103  1.0  2.370549 -2.0  1.0
7   0.540302  0.690571  1.0  1.747715 -2.0  1.0
8   2.540302  1.014881  1.0  0.738587 -2.0  1.0
9   0.540302  0.992814  1.0  1.762176 -2.0  1.0
10  0.540302  1.028061  1.0  1.438632 -2.0  1.0
11  0.540302 -1.648361  1.0 -1.176196 -2.0  1.0
12  2.540302 -0.356865  1.0  2.451586 -2.0  1.0
13  0.540302 -1.417645  1.0 -0.614025 -2.0  1.0
14  0.540302  0.976280  1.0 -1.064281 -2.0  1.0
15  0.540302  1.431034  1.0  2.643980 -2.0  1.0
16  2.540302 -0.629713  1.0  1.611480 -2.0  1.0
17  2.540302  1.437763  1.0  2.190272 -2.0  1.0
18  2.540302 -0.481829  1.0  2.454260 -2.0  1.0
19  2.540302  0.465086  1.0  2.176428 -2.0  1.0
20  0.540302  2.504940  1.0  1.166273 -2.0  1.0
21  0.540302 -0.803677  1.0  2.691566 -2.0  1.0
22  2.540302  0.648454  1.0  0.797252 -2.0  1.0
23  2.540302  1.331581  1.0  0.203827 -2.0  1.0
24  2.540302 -1.557364  1.0  0.796522 -2.0  1.0
25  2.540302 -1.049498  1.0  0.590222 -2.0  1.0
26  2.540302 -1.867432  1.0  1.948159 -2.0  1.0
27  2.540302 -0.351694  1.0  0.695601 -2.0  1.0
28  2.540302 -0.375939  1.0  2.321150 -2.0  1.0
29  2.540302 -1.835412  1.0  0.135660 -2.0  1.0
30  0.540302 -1.178683  1.0  0.600470 -2.0  1.0
31  2.540302  2.817300  1.0  1.448487 -2.0  1.0
32  0.540302 -0.156728  1.0  2.471842 -2.0  1.0
33  2.540302  1.456004  1.0  2.488585 -2.0  1.0
34  2.540302 -0.338439  1.0  2.759759 -2.0  1.0
35  2.540302 -1.361177  1.0  1.924791 -2.0  1.0
36  2.540302 -0.391608  1.0  0.834221 -2.0  1.0
37  2.540302 -0.597284  1.0  1.653959 -2.0  1.0
38  0.540302 -1.235910  1.0  2.288395 -2.0  1.0
39  2.540302  0.533228  1.0  1.415587 -2.0  1.0
40  0.540302 -1.228119  1.0  1.157231 -2.0  1.0
41  0.540302  0.178169  1.0  0.147090 -2.0  1.0
42  0.540302 -0.054277  1.0 -1.159223 -2.0  1.0
43  0.540302  1.542815  1.0  2.673100 -2.0  1.0
44  2.540302  0.833835  1.0 -1.148632 -2.0  1.0
45  2.540302  0.747335  1.0  2.477015 -2.0  1.0
46  0.540302 -0.147523  1.0  2.601675 -2.0  1.0
47  0.540302  0.072876  1.0  0.762460 -2.0  1.0
48  0.540302  2.410552  1.0  2.317533 -2.0  1.0
49  0.540302 -0.196521  1.0  0.736262 -2.0  1.0
