           A         B         C         D         E    F
0   0.877583  0.546548 -2.055898  0.249710  0.055898 -0.5
1   2.877583 -0.113478  0.109445  2.227003 -0.109445 -0.5
2   0.877583  0.718480 -1.366533  1.710735  0.366533 -0.5
3   2.877583  0.206613 -1.521410  1.975175  0.521410 -0.5
4   0.877583  0.040867 -0.124679  0.540169  0.124679 -0.5
5   0.877583  0.161293 -2.038810  1.376021  0.038810 -0.5
6   0.877583 -0.151178 -2.604473  1.515288  0.604473 -0.5
7   2.877583  1.476488 -2.161475 -1.531346  0.161475 -0.5
8   0.877583 -1.044572  1.579672  1.348575  0.420328 -0.5
9   0.877583 -0.294131 -1.749902 -0.548889 -0.250098 -0.5
10  2.877583 -0.559888  2.011507  2.563381 -0.011507 -0.5
11  0.877583  0.611614 -0.378816  1.496414 -0.621184 -0.5
12  0.877583  0.000655  0.000840 -0.005614 -0.000840 -0.5
13  2.877583 -0.089748  2.085047 -0.283509 -0.085047 -0.5
14  0.877583 -1.172405  2.380939  2.152356 -0.380939 -0.5
15  0.877583 -0.583970 -2.441885  2.470025  0.441885 -0.5
16  2.877583  0.234524  1.985576 -0.379636  0.014424 -0.5
17  0.877583  0.327982 -0.981029 -0.239422 -0.018971 -0.5
18  0.877583  0.356807 -2.001826  1.891528  0.001826 -0.5
19  0.877583  0.680329 -1.005161  0.090445  0.005161 -0.5
20  0.877583 -0.579673 -0.917026 -1.035538 -0.082974 -0.5
21  0.877583  0.308185 -0.786292  2.477032 -0.213708 -0.5
22  0.877583  0.235650 -2.272831  1.332139  0.272831 -0.5
23  2.877583 -0.066234 -1.222030  2.121278  0.222030 -0.5
24  0.877583  0.016015 -0.096410  0.222914  0.096410 -0.5
25  2.877583  0.172631  0.853578  0.570606  0.146422 -0.5
26  0.877583  1.596323 -1.931876 -0.195878 -0.068124 -0.5
27  0.877583 -1.884214  2.323559 -0.808831 -0.323559 -0.5
28  2.877583  0.769529 -1.132912  2.153828  0.132912 -0.5
29  0.877583 -0.413856  2.239072 -0.454480 -0.239072 -0.5
30  2.877583 -0.572393  1.032071  2.437878 -0.032071 -0.5
31  2.877583 -2.753238 -1.951005  0.893123 -0.048995 -0.5
32  2.877583  0.011548 -0.007483  1.918813  0.007483 -0.5
33  2.877583 -0.013129 -1.252016  2.357980  0.252016 -0.5
34  2.877583  0.493971 -1.217384 -0.933940  0.217384 -0.5
35  0.877583 -0.845125  1.985031  0.402113  0.014969 -0.5
36  2.877583 -0.370414 -1.092547 -0.834808  0.092547 -0.5
37  2.877583 -0.033726  0.054626  2.555545 -0.054626 -0.5
38  0.877583 -0.847685  2.136670  2.529941 -0.136670 -0.5
39  2.877583 -0.222058 -2.072157  2.385208  0.072157 -0.5
40  2.877583  1.019502  2.043070  0.095696 -0.043070 -0.5
41  0.877583 -0.055606  0.447929  0.967982  0.552071 -0.5
42  2.877583 -0.345981  1.152138  1.291325 -0.152138 -0.5
43  0.877583 -0.163498 -0.787950  1.832820 -0.212050 -0.5
44  0.877583 -0.589056  1.100297  1.673568 -0.100297 -0.5
45  0.877583 -0.426957 -1.070555 -1.056504  0.070555 -0.5
46  0.877583 -1.643260 -2.391999  1.277700  0.391999 -0.5
47  2.877583  0.173765  0.597695  0.575329  0.402305 -0.5
48  0.877583  1.004968  2.021675 -0.576876 -0.021675 -0.5
49  0.877583  2.063897 -1.701239  1.918110 -0.298761 -0.5
