           A          B         C         D         E    F
0   1.583853   1.531573 -2.059627  2.191881  0.059627  2.0
1   1.583853  -2.474220  0.889249  1.772086  0.110751  2.0
2  -0.416147   0.040489 -0.030763  2.213371  0.030763  2.0
3   1.583853  13.283818  2.113270  0.745721 -0.113270  2.0
4   1.583853   6.821464  2.006431  0.076684 -0.006431  2.0
5   1.583853   1.583091  0.989056  2.493579  0.010944  2.0
6  -0.416147   5.807762 -2.267519  1.464000  0.267519  2.0
7   1.583853   5.097157 -1.988182  0.446135 -0.011818  2.0
8  -0.416147   0.012515  0.029143  2.432830 -0.029143  2.0
9  -0.416147   1.010346 -2.205209  2.075975  0.205209  2.0
10  1.583853   0.893529 -1.101936  2.540091  0.101936  2.0
11  1.583853   2.099415  1.119257  2.236864 -0.119257  2.0
12 -0.416147  -1.049521 -1.955137  0.776160 -0.044863  2.0
13 -0.416147   0.091234  0.038205  0.714901 -0.038205  2.0
14 -0.416147  11.109277 -2.062448  0.526202  0.062448  2.0
15  1.583853   1.858366  0.904701  1.044592  0.095299  2.0
16  1.583853   0.883831 -0.968889 -0.685745 -0.031111  2.0
17 -0.416147   0.754914 -1.004219  2.494480  0.004219  2.0
18 -0.416147   1.131731 -1.036809  2.083864  0.036809  2.0
19  1.583853  -2.232237 -1.963446 -0.495778 -0.036554  2.0
20 -0.416147  -2.139803 -2.072971  1.723359  0.072971  2.0
21  1.583853   1.259964 -1.815246  1.892830 -0.184754  2.0
22 -0.416147   2.701541 -1.015413 -1.129839  0.015413  2.0
23 -0.416147   2.489097 -2.065533  0.473474  0.065533  2.0
24  1.583853  -0.436726 -0.858296  2.713562 -0.141704  2.0
25 -0.416147  -2.707475  2.163813  1.536093 -0.163813  2.0
26 -0.416147   5.895575 -2.029507  2.496515  0.029507  2.0
27  1.583853  -3.583956  1.147080 -1.207071 -0.147080  2.0
28 -0.416147  -2.709283 -2.140461  1.272851  0.140461  2.0
29  1.583853  -0.023488 -0.200292  1.160357  0.200292  2.0
30 -0.416147  -1.007119  1.073593  0.815940 -0.073593  2.0
31 -0.416147   6.456844  2.028769  1.672853 -0.028769  2.0
32  1.583853   3.365950 -1.949288  1.931046 -0.050712  2.0
33  1.583853   6.119511 -1.938268  2.903390 -0.061732  2.0
34  1.583853  -1.042672 -1.246082  1.321321  0.246082  2.0
35 -0.416147  -4.674328  1.933448  2.676902  0.066552  2.0
36 -0.416147  -0.292980 -1.291811  1.556963  0.291811  2.0
37  1.583853   4.160251 -1.006399  0.448842  0.006399  2.0
38  1.583853   0.845882  1.083415  2.175891 -0.083415  2.0
39 -0.416147   2.076151  1.272105  1.078959 -0.272105  2.0
40  1.583853  -0.587379 -2.228665  1.345265  0.228665  2.0
41 -0.416147   0.314230 -0.901277 -0.329419 -0.098723  2.0
42  1.583853  -2.897413  1.655070  1.508285  0.344930  2.0
43 -0.416147   2.947761 -2.025184  2.546139  0.025184  2.0
44  1.583853   1.715077  0.915618  2.280482  0.084382  2.0
45 -0.416147  -6.586632 -2.057136  1.383761  0.057136  2.0
46  1.583853   1.856742  2.014294  1.271412 -0.014294  2.0
47 -0.416147  -1.095174 -2.119128 -0.677039  0.119128  2.0
48  1.583853  -5.353280  2.084691  1.028763 -0.084691  2.0
49 -0.416147  -2.202908  1.874989  0.646790  0.125011  2.0
