           A          B         C         D         E         F
0   0.812178   0.237676 -1.598095  0.764623 -0.401905 -0.622920
1   2.175593  -2.188907  1.028343 -0.551253 -0.028343 -1.394288
2   2.860629  -1.000042  2.330058  2.162307 -0.330058  0.534293
3   0.999165   0.151630  1.826480 -0.746731  0.173520 -0.040867
4   2.733075   0.330159 -0.587830 -0.892030 -0.412170 -0.747965
5   0.978064   0.245739  1.130512 -0.711058 -0.130512 -0.209840
6  -0.125038   0.493891 -1.995361  1.448534 -0.004639 -1.696162
7   2.308597   2.240007 -1.212132  1.872977  0.212132 -1.257078
8   2.977755  -0.271254 -1.985364 -0.856879 -0.014636 -0.211319
9   0.849114  -0.753027  0.945080  2.108723  0.054920  0.556491
10  0.814441  -0.822602 -1.984918 -0.196225 -0.015082 -0.619031
11  0.838015  -0.168191 -1.792346  2.157325 -0.207654 -0.577162
12  2.890449  -2.079558 -2.338759 -0.874907  0.338759  0.472466
13  0.073446   2.525596 -1.999725  2.060453 -0.000275 -1.497284
14  1.707499  -3.280536  2.022065  0.549720 -0.022065 -1.867638
15  0.656636   0.610261 -0.729574  2.341832 -0.270426 -0.854447
16  2.348823  -0.049045 -1.871208  0.582360 -0.128792 -1.214481
17  0.997219   0.101657  1.661380  1.429569  0.338620 -0.074602
18  0.969385  -0.201288 -1.093284  1.643564  0.093284 -0.248084
19  0.996569   0.054462 -2.083797  1.496586  0.083797 -0.082858
20  2.484828  -0.023930  0.012963  0.696029 -0.012963 -1.064630
21  2.720544  -0.406620 -0.829114 -0.968875 -0.170886 -0.766210
22  1.440708  10.306302  2.073040  0.364477 -0.073040 -2.164328
23  2.644680   1.457496 -2.038565  0.842939  0.038565 -0.870191
24  0.940087   0.243508  1.633198  1.661090  0.366802  0.347911
25  0.800254  -0.608890 -1.392416  1.438540  0.392416 -0.643078
26  0.765313  -1.763663 -1.876481  2.213643 -0.123519  0.699268
27  0.441251  -1.194431  1.992650  0.185210  0.007350 -1.113804
28  0.585236   1.487438 -1.128106  0.449157  0.128106 -0.945625
29  0.355310  -5.379935  1.859130  0.793291  0.140870 -1.207550
30  2.872969  -0.252731  0.519083  1.873707  0.480917 -0.509539
31  0.241611   0.780351 -0.996339  0.049268 -0.003661 -1.326771
32  2.991381  -0.430368 -1.799153  0.934299 -0.200847 -0.131390
33  0.996823  -0.057190 -0.541936  1.185757 -0.458064  0.079738
34  0.780091  -0.022909  0.045527  2.706904 -0.045527  0.675986
35  2.155669  -1.130145 -1.978667  2.079249 -0.021333 -1.414492
36  2.129912   0.369078 -1.031688  1.974062  0.031688 -1.440516
37  0.980648   0.377580 -1.252972  2.556365  0.252972 -0.197050
38  0.983846  -0.012674  0.050122 -1.035836 -0.050122 -0.179987
39 -0.548616   3.641905 -0.989175 -0.829587 -0.010825 -2.151505
40  2.997923  -0.087820  1.917929 -0.410679  0.082071  0.064460
41  0.838323   0.907656 -2.014481  2.347176  0.014481  0.576597
42  0.059802  -2.151568  2.011670  2.704230 -0.011670 -1.510959
43  2.112588  -1.146390  1.014470  2.101809 -0.014470 -1.457969
44  0.715604  -1.379790  1.043176  2.357180 -0.043176 -0.773308
45  0.998576   0.072554 -1.922053  2.107644 -0.077947 -0.053382
46  0.073741   0.112137 -1.982240  0.989233 -0.017760 -1.496988
47  0.995230   0.414817 -2.010665  2.703337  0.010665 -0.097713
48  2.137057  -1.620237 -2.015861 -0.228753  0.015861 -1.433306
49  2.489928  -2.823819 -1.740525  1.970261 -0.259475 -1.058789
50  2.917360  -0.858998 -0.926813  2.721275 -0.073187 -0.409400
51  2.930341   2.034412  2.320796  1.716363 -0.320796 -0.375453
52  2.985190   0.121517 -0.423814  1.293217 -0.576186 -0.172317
53  0.900008   0.075939 -1.033305 -0.173807  0.033305 -0.451009
54  0.830481  -0.585118  0.455652  2.230636 -0.455652  0.590826
55  2.903789   0.368563 -1.976255  2.643668 -0.023745  0.442254
56  0.072127  -2.484464  2.005341  1.984973 -0.005341 -1.498607
57  2.280224  -1.047241 -1.026271  0.259477  0.026271 -1.286769
58  0.999937   0.023390  2.169434  2.398266 -0.169434 -0.011236
59  2.709297  -0.077017 -0.623904  0.990069 -0.376096 -0.782296
60  2.542633  -3.303836  2.016306 -0.973150 -0.016306 -0.997228
61 -0.137364   3.239831  1.003823  1.590865 -0.003823 -1.708597
62  0.740483  -2.586392  1.181274  0.651791 -0.181274 -0.737008
63  2.982519   0.717349 -1.717098  1.961736 -0.282902 -0.187257
64  0.751881  -1.284458 -2.339222 -0.716031  0.339222 -0.719886
65  2.155084  -7.885692  2.159064  1.435503 -0.159064 -1.415083
66  0.458953  -0.303712 -0.984633  2.451377 -0.015367 -1.093979
67  0.595123   1.510143 -1.984219 -0.238253 -0.015781 -0.933377
68  1.150749  -2.581286 -1.306709 -0.847061  0.306709 -2.585362
69  2.881259   0.870090  1.079922  1.783356 -0.079922 -0.492276
70  0.432020   0.158930 -1.880545  1.867701 -0.119455 -1.124065
71  0.454989  -1.166827 -0.890996  0.710206 -0.109004 -1.098437
72  2.635673   1.662935  2.207822  1.380290 -0.207822 -0.881917
73  0.968818  -0.083125  0.550334  1.096272  0.449666 -0.250380
74  2.929921  -0.186778 -1.080901  0.393805  0.080901 -0.376598
75  0.683649   1.557055  0.925969  2.640246  0.074031  0.818045
76  0.999570   0.058130 -2.139156  2.149829  0.139156 -0.029322
