           A         B    C         D         E    F
0   2.540302  1.421705  1.0  1.307472 -0.328478  1.0
1   2.540302  1.558341  1.0  2.095802 -0.156345  1.0
2   0.540302 -0.824787  1.0  1.573742  0.091664  1.0
3   2.540302 -1.145805  1.0 -0.214241 -0.099024  1.0
4   0.540302 -0.564079  1.0 -0.622803  0.015516  1.0
5   2.540302 -1.779550  1.0  2.930669 -0.004889  1.0
6   2.540302 -0.600056  1.0  0.740219 -0.244158  1.0
7   0.540302  0.095020  1.0  1.844370 -0.113668  1.0
8   0.540302 -0.517250  1.0  2.115672  0.120732  1.0
9   0.540302 -0.926747  1.0  1.996984 -0.003899  1.0
10  2.540302  2.729299  1.0 -0.702502  0.108004  1.0
11  0.540302 -0.895449  1.0  2.479375  0.001515  1.0
12  0.540302  0.716245  1.0 -0.374091 -0.065729  1.0
13  2.540302 -1.673149  1.0  1.712028 -0.206879  1.0
14  2.540302  1.308056  1.0 -1.029014 -0.056858  1.0
15  0.540302  0.440493  1.0  1.992161  0.023401  1.0
16  2.540302 -0.496312  1.0 -0.775530 -0.012248  1.0
17  0.540302 -0.191301  1.0  2.099348  0.107057  1.0
18  2.540302 -0.264819  1.0  1.038067 -0.101002  1.0
19  2.540302  0.216043  1.0  0.392748  0.055140  1.0
20  0.540302 -0.860992  1.0  1.252156  0.215347  1.0
21  2.540302  3.379970  1.0  1.243094 -0.293173  1.0
22  0.540302 -0.440533  1.0  1.481492  0.307564  1.0
23  2.540302  1.065858  1.0  1.587582 -0.350115  1.0
24  0.540302  0.773125  1.0  1.415296  0.110811  1.0
25  2.540302 -0.119906  1.0  0.729371 -0.124390  1.0
26  2.540302 -0.692815  1.0  1.246834  0.162934  1.0
27  2.540302 -2.066974  1.0 -0.406348  0.005444  1.0
28  0.540302 -1.933275  1.0  0.542431 -0.069658  1.0
29  2.540302  1.135168  1.0  1.992950 -0.096910  1.0
30  0.540302  1.240556  1.0  2.402108  0.043038  1.0
31  0.540302 -1.173953  1.0  1.398317 -0.363478  1.0
32  0.540302  0.207018  1.0  2.449604 -0.112165  1.0
33  0.540302  1.120056  1.0  2.497485  0.066173  1.0
34  0.540302  1.082143  1.0 -0.369519  0.038769  1.0
35  2.540302 -0.162563  1.0  2.433518 -0.000095  1.0
36  0.540302 -0.500813  1.0 -0.065574 -0.010969  1.0
37  2.540302  1.440804  1.0  2.236002  0.035528  1.0
38  2.540302  1.030166  1.0 -1.031552  0.062068  1.0
39  0.540302  0.011468  1.0 -0.029921  0.005000  1.0
40  2.540302 -0.514063  1.0 -0.931137 -0.065527  1.0
41  2.540302  1.159476  1.0  0.905473  0.040555  1.0
42  2.540302 -0.911040  1.0  2.471504 -0.264714  1.0
43  2.540302 -0.729857  1.0  1.542052  0.034665  1.0
44  2.540302 -1.893353  1.0  1.837608 -0.316506  1.0
45  2.540302 -0.964679  1.0  0.510329  0.028950  1.0
46  2.540302  0.873131  1.0  0.199790  0.033966  1.0
47  0.540302  0.644898  1.0  0.191976  0.024591  1.0
48  0.540302  0.966309  1.0  2.201131  0.113966  1.0
49  0.540302  0.854760  1.0  0.504617 -0.087686  1.0
